total_path,text,emotion
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F001.wav,"b/ 몰라. o/ b/ 아 몰라 어떡해. o/
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F002.wav,"n/ 지섭씨. 일단 112에 신고하자.
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F003.wav,"아 지금 생각할게 할게 뭐가 있어. b/ 지섭씨는 여기있어. 일단 내가 가서 보고 o/ 올테니까.
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F004.wav,"지섭씨.
",3
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F005.wav,"아 아니 그게 말야. 아무것도 도로에 아무것도 없어.
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F006.wav,"아 그래 근데 지금 없어. 죽었는지 살았는지 우리가 친 사람이 없단 말야.
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F007.wav,"o/ N/ 지섭씨 사람하고 고라니를 구분 못 할 정돈 (아니잖아)
",0
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F008.wav,"하 그러니까. o/ b/
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F009.wav,"지금 무슨 소릴 하는 거야. 지금 어딘가에 있을 거야. 우리가 사람을 쳤는데 당연히 찾아서 병원에 데려가야지. b/
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F010.wav,"지섭씨.
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F011.wav,"자기 무섭게 왜 이래.
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F012.wav,"이건 사람이면 사람이면 이러면 안 되잖아. b/ 당신 이런 사람 아니잖아. 왜 그러는 (건데)
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F013.wav,"b/ 지섭씨 사람 목숨이 달린 거잖아. 일단 찾아보자 어? o/ 혹시 모르니까 경찰에 신고도 해보고 내가 (전화할게)
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F014.wav,"n/ 지섭씨. 왜 (이래)
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F015.wav,"지금 계속 무슨 말이야.
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F016.wav,"지섭씨 (무서워)
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F017.wav,"아 알았어.
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F018.wav,"o/ b/ 지 지섭씨. 저 저기 o/ 저기.
",2
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F019.wav,"아 저 저 앞에 아 사람. 우리가 친 사람. 아 지나가고 있어. o/ n/
",2
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F020.wav,"살았나봐. 어떡해? (어떡해)
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F021.wav,"아 지금 뭐 하려고? b/ 어?
",4
./KEMDy19/wav/Session01/Sess01_script01/Sess01_script01_F022.wav,"아 지섭씨 제발. 제발.
",4
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F001.wav,"음 맛있다. 근데 자긴 안 먹어?
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F002.wav,"고마워. 근데 오빠는 꿈이 뭐야?
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F003.wav,"아 빨리이잉.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F004.wav,"b/ 아이 얼릉.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F005.wav,"(중국집 주인+됐고) o/ 오빠는 내 꿈 안 각 안 궁금해?
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F006.wav,"아 뭐야. 나 말 안해.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F007.wav,"궁금해?
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F008.wav,"음 내 꿈은 오빠한테 시집가는거.
",1
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F009.wav,"아 어때? 난 오빠 여잔데 내가 부끄러?
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F010.wav,"나랑 같이 살려면 꿈이 있어야 되는 거 아냐? 근데 중국집 얘기는 좀 실망스러워.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F011.wav,"어 맛있겠다.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F012.wav,"에이 무슨 셋은 낳아야지.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F013.wav,"아 뭐야.
",3
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F014.wav,"뭐 나야말로 오빠랑 누가 결혼한대?
",3
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F015.wav,"하도 불쌍하고 보잘것없어서 뭐 보여 그냥 그래서 해준다 한 거지. n/
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F016.wav,"내가 당신처럼 어리버리하고 그런 남자가 뭐가 좋다고 결혼을 해?
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F017.wav,"아 됐어.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F018.wav,"b/ 그게 뭔데.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F019.wav,"아 이게 뭐야? 중국집 젓가락들이잖아.
",2
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F020.wav,"도대체 몇 개야? 하나 둘 셋 넷.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F021.wav,"젓가락 100개? 아니 그게 근데 왜 이걸 날 줘?
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F022.wav,"l/ 아 오빠 너무 웃겨.
",1
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F023.wav,"b/ 그러니깐 젓가락 100개란 게 우리들 만난 지 100일 되는 날이라서 준비했다는 거야? l/
",1
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F024.wav,"에휴 참나. b/
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F025.wav,"안되겠다 오빠랑은 이제 더 이상 못 만나겠다.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F026.wav,"오빠 같은 사람하곤 이젠 못 만나겠다구.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F027.wav,"이젠 안 만나.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F028.wav,"대신 같이 살아야겠어.
",1
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F029.wav,"자. 오빠는 젓가락을 줬지만 난 좋은 거 줄게.
",1
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F030.wav,"100일 반지. 으이그 이 무능력한 남자야 여자인 내가 반지를 준비해야겠어? 다 오빠가 당연히 준비해야지.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F031.wav,"b/ 미장원에서 샴푸하면서 동네 아줌마들이 주는 팁 좀 모았지. 으이그 오빠는 돈 걱정하지 마. 내가 먹여 살릴게.
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F032.wav,"오빠. 누가 선물하고 누가 프로포즈 하면 어때? 난 오빠 사랑하고 지금이 행복해. 우리 둘이 함께 한다는 게 중요한 거잖아?
",0
./KEMDy19/wav/Session01/Sess01_script02/Sess01_script02_F033.wav,"대신 프로포즈는 내가 먼저 했으니까 결혼식은 정말 멋지게 해줘야 해? 알았어?
",0
